Transcript stable ID,Gene name
F58E10.4.1,aip-1
K07C11.2.1,air-1
K07C11.2.2,air-1
B0207.4.1,air-2
C25A11.4a.1,ajm-1
C25A11.4b.1,ajm-1
C25A11.4c.1,ajm-1
C25A11.4c.2,ajm-1
C25A11.4d.1,ajm-1
C25A11.4e.1,ajm-1
C25A11.4f.1,ajm-1
C25A11.4f.2,ajm-1
C25A11.4g.1,ajm-1
C25A11.4h.1,ajm-1
C25A11.4i.1,ajm-1
C25A11.4j.1,ajm-1
C25A11.4k.1,ajm-1
C25A11.4l.1,ajm-1
C25A11.4m.1,ajm-1
D1022.7a.1,aka-1
D1022.7a.2,aka-1
D1022.7b.1,aka-1
D1022.7b.2,aka-1
D1022.7c.1,aka-1
D1022.7c.2,aka-1
C12D8.10a.1,akt-1
C12D8.10a.2,akt-1
C12D8.10b.1,akt-1
C12D8.10b.2,akt-1
C12D8.10c.1,akt-1
F28H6.1a.1,akt-2
F28H6.1b.1,akt-2
F48F7.1a.1,alg-1
F48F7.1b.1,alg-1
T07D3.7a.1,alg-2
T07D3.7b.1,alg-2
F54D8.3a.1,alh-1
F54D8.3a.2,alh-1
F54D8.3b.1,alh-1
F54D8.3b.2,alh-1
F54D8.3b.3,alh-1
F54D8.3b.4,alh-1
K04F1.15.1,alh-2
F36H1.6.1,alh-3
T05H4.13a.1,alh-4
T05H4.13a.2,alh-4
T05H4.13b.1,alh-4
T05H4.13b.2,alh-4
T05H4.13c.1,alh-4
T05H4.13c.2,alh-4
T05H4.13d.1,alh-4
T05H4.13d.2,alh-4
T08B1.3.1,alh-5
F56D12.1a.1,alh-6
F56D12.1a.2,alh-6
F56D12.1a.3,alh-6
F56D12.1b.1,alh-6
F56D12.1b.2,alh-6
F56D12.1b.3,alh-6
F56D12.1c.1,alh-6
F56D12.1c.2,alh-6
F56D12.1c.3,alh-6
F56D12.1d.1,alh-6
F45H10.1a.1,alh-7
F45H10.1a.2,alh-7
F45H10.1b.1,alh-7
F13D12.4a.1,alh-8
F13D12.4a.2,alh-8
F13D12.4a.3,alh-8
F13D12.4b.1,alh-8
F01F1.6.1,alh-9
F01F1.6.2,alh-9
C54D1.4.1,alh-10
F42G9.5a.1,alh-11
F42G9.5b.1,alh-11
F42G9.5b.2,alh-11
Y69F12A.2a.1,alh-12
Y69F12A.2a.2,alh-12
Y69F12A.2b.1,alh-12
Y69F12A.2b.2,alh-12
C01F6.5.1,aly-1
F23B2.6.1,aly-2
M18.7a.1,aly-3
M18.7a.2,aly-3
M18.7b,aly-3
F36A4.7.1,ama-1
F36A4.7.2,ama-1
C05E11.4.1,amt-1
F49E11.3.1,amt-2
M195.3.1,amt-3
C05E11.5.1,amt-4
R13G10.2.1,amx-1
B0019.1.1,amx-2
F25C8.2a.1,amx-3
F25C8.2b.1,amx-3
ZK973.6a.1,anc-1
ZK973.6b.1,anc-1
ZK973.6c.1,anc-1
C08B6.9.1,aos-1
K06H7.6.1,apc-2
F15H10.3a.1,apc-10
F15H10.3a.2,apc-10
F15H10.3a.3,apc-10
F15H10.3b.1,apc-10
F15H10.3c.1,apc-10
F15H10.3d.1,apc-10
F35G12.9.1,apc-11
F35G12.9.2,apc-11
F46F3.4a.1,ape-1
F46F3.4b.1,ape-1
F46F3.4c.1,ape-1
F46F3.4d.1,ape-1
VF36H2L.1.1,aph-1
ZC434.6a.1,aph-2
ZC434.6b.1,aph-2
C42D8.8a.1,apl-1
C42D8.8b.1,apl-1
F55A12.7.1,apm-1
T05H10.2.1,apn-1
T05H10.2.2,apn-1
W03G9.4.1,app-1
K04G2.8a.1,apr-1
K04G2.8b.1,apr-1
K04G2.8c.1,apr-1
F02E8.3.1,aps-2
Y105E8A.9.1,apg-1
F29G9.3.1,aps-1
Y71H2B.10a.1,apb-1
Y71H2B.10b.1,apb-1
Y71H2B.10c.1,apb-1
T20B5.1.1,apa-2
T20B5.1.2,apa-2
T20B5.1.3,apa-2
W09G10.4a.1,apd-3
W09G10.4b.1,apd-3
R11A5.1a.1,apb-3
R11A5.1b.1,apb-3
F53H8.1.1,apm-3
Y48G8AL.14.1,aps-3
W04G3.4.1,apt-9
K08D9.3a.1,apx-1
K08D9.3b,apx-1
K08D9.3c,apx-1
K08D9.3d,apx-1
K08D9.3e.1,apx-1
K08D9.3f.1,apx-1
F32A5.5a.1,aqp-1
F32A5.5b.1,aqp-1
F32A5.5b.2,aqp-1
C01G6.1a.1,aqp-2
C01G6.1a.2,aqp-2
C01G6.1a.3,aqp-2
C01G6.1b.1,aqp-2
C01G6.1b.2,aqp-2
Y69E1A.7a.1,aqp-3
Y69E1A.7b.1,aqp-3
Y69E1A.7c.1,aqp-3
F40F9.9.1,aqp-4
C35A5.1.1,aqp-5
C32C4.2a.1,aqp-6
C32C4.2b.1,aqp-6
C32C4.2c.1,aqp-6
M02F4.8.1,aqp-7
M02F4.8.2,aqp-7
K02G10.7a.1,aqp-8
K02G10.7b.1,aqp-8
K02G10.7c.1,aqp-8
K02G10.7d.1,aqp-8
K07A1.16a.1,aqp-9
K07A1.16b.1,aqp-9
ZK1321.3.1,aqp-10
ZK525.2.1,aqp-11
ZK1320.6.1,arc-1
F01G4.2a.1,ard-1
F01G4.2b.1,ard-1
F01G4.2b.2,ard-1
B0336.2.1,arf-1.2
B0336.2.2,arf-1.2
B0336.2.3,arf-1.2
F57H12.1.1,arf-3
Y116A8C.12.1,arf-6
F31A9.3a.1,arg-1
F31A9.3b.1,arg-1
C01C7.1a.1,ark-1
C01C7.1b.1,ark-1
F54C9.10.1,arl-1
F54C9.10.2,arl-1
F19H8.3.1,arl-3
ZK632.8.1,arl-5
F45E4.1.1,arf-1.1
F20D1.5,arl-7
Y57G11C.13.1,arl-8
C38D4.8.1,arl-6
F53H8.2.1,arr-1
W02B12.6a.1,aars-1
W02B12.6b,aars-1
F28H1.3.1,aars-2
F28H1.3.2,aars-2
F28H1.3.3,aars-2
F28H1.3.4,aars-2
C15F1.6.1,art-1
Y71F9AL.16.1,arx-1
K07C5.1.1,arx-2
Y79H2A.6a.1,arx-3
Y79H2A.6b.1,arx-3
Y6D11A.1.1,exos-4.2
Y37D8A.1.1,arx-5
C35D10.16.1,arx-6
M01B12.3.1,arx-7
F35G12.10.1,asb-1
F35G12.10.2,asb-1
F02E8.1.1,asb-2
F02E8.1.2,asb-2
F02E8.1.3,asb-2
Y53F4B.15.1,trip-4
K07A12.3.1,asg-1
C53B7.4.1,asg-2
B0252.2.1,asm-1
B0252.2.2,asm-1
ZK455.4.1,asm-2
W03G1.7a.1,asm-3
W03G1.7b.1,asm-3
Y39B6A.20.1,asp-1
Y39B6A.20.2,asp-1
T18H9.2.1,asp-2
H22K11.1.1,asp-3
R12H7.2.1,asp-4
F21F8.3.1,asp-5
F21F8.3.2,asp-5
F21F8.7.1,asp-6
K08F8.2.1,atf-2
T04C10.4.1,atf-5
T04C10.4.2,atf-5
F45E6.2.1,atf-6
C07G2.2a.1,atf-7
C07G2.2b.1,atf-7
C07G2.2c.1,atf-7
C07G2.2c.2,atf-7
C07G2.2d.1,atf-7
F26D10.9a.1,atgp-1
F26D10.9b.1,atgp-1
C38C6.2a.1,atgp-2
C38C6.2b.1,atgp-2
C38C6.2c.1,atgp-2
C38C6.2c.2,atgp-2
T06E4.3a.1,atl-1
T06E4.3c.1,atl-1
Y48G1BL.2a.1,atm-1
Y48G1BL.2b.1,atm-1
W04D2.1a.1,atn-1
W04D2.1b.1,atn-1
W04D2.1c.1,atn-1
W04D2.1d.1,atn-1
C34E10.6.1,atp-2
C34E10.6.2,atp-2
C34E10.6.3,atp-2
F27C1.7a.1,atp-3
F27C1.7a.2,atp-3
F27C1.7a.3,atp-3
F27C1.7a.4,atp-3
F27C1.7a.5,atp-3
F27C1.7b.1,atp-3
D2045.1a.1,atx-2
D2045.1b.1,atx-2
D2045.1c.1,atx-2
D2045.1d.1,atx-2
B0207.12a.1,avr-14
B0207.12a.2,avr-14
B0207.12b.1,avr-14
B0207.12c.1,avr-14
R11G10.1a.1,avr-15
R11G10.1b.1,avr-15
R11G10.1b.2,avr-15
R11G10.1c.1,avr-15
B0464.7.1,baf-1
F57B10.11.1,bag-1
Y71F9AR.1.1,bam-2
C54D1.6.1,bar-1
C05D2.4a.1,bas-1
C05D2.4b.1,bas-1
K08F8.4a.1,pah-1
K08F8.4b.1,pah-1
Y105E8A.5.1,bbs-1
F20D12.3.1,bbs-2
T25F10.5.1,bbs-8
T13C5.5.1,bca-1
T13C5.5.2,bca-1
M7.3.1,bcc-1
T19E7.3a.1,bec-1
T19E7.3b.1,bec-1
C54C6.2.1,ben-1
T27F2.3.1,bir-1
C50B8.2.1,bir-2
C09G5.6.1,bli-1
C09G5.6.2,bli-1
F59E12.12.1,bli-2
F56C11.1.1,bli-3
K04F10.4a.1,bli-4
K04F10.4a.2,bli-4
K04F10.4b.1,bli-4
K04F10.4b.2,bli-4
K04F10.4c.1,bli-4
K04F10.4c.2,bli-4
K04F10.4d.1,bli-4
K04F10.4d.2,bli-4
K04F10.4e.1,bli-4
K04F10.4e.2,bli-4
K04F10.4f.1,bli-4
K04F10.4f.2,bli-4
K04F10.4g.1,bli-4
K04F10.4g.2,bli-4
K04F10.4h.1,bli-4
K04F10.4h.2,bli-4
K04F10.4i.1,bli-4
K04F10.4i.2,bli-4
K04F10.4j.1,bli-4
K04F10.4j.2,bli-4
F45G2.5.1,bli-5
Y73B6BL.34.1,bli-6
F23B12.8a.1,bmk-1
F23B12.8a.2,bmk-1
F23B12.8b.1,bmk-1
F23B12.8b.2,bmk-1
F13H8.10a.1,bpl-1
F13H8.10b.1,bpl-1
F13H8.10c.1,bpl-1
F13H8.10c.2,bpl-1
F54B11.6.1,bra-1
F23H11.5.1,F23H11.5
C36A4.8a.1,brc-1
C36A4.8b.1,brc-1
K04C2.4.1,brd-1
K04C2.4.2,brd-1
C53B4.7a.1,bre-1
C53B4.7a.2,bre-1
C53B4.7b.1,bre-1
C53B4.7c.1,bre-1
C53B4.7c.2,bre-1
C53B4.7d.1,bre-1
C53B4.7e.1,bre-1
Y39E4B.9a.1,bre-2
Y39E4B.9b.1,bre-2
Y39E4B.9c.1,bre-2
Y39E4B.9d.1,bre-2
B0464.4a.1,bre-3
B0464.4a.2,bre-3
B0464.4b,bre-3
Y73E7A.7a.1,bre-4
Y73E7A.7a.2,bre-4
Y73E7A.7b.1,bre-4
Y73E7A.7b.2,bre-4
T12G3.8a.1,bre-5
T12G3.8b.1,bre-5
F45E12.2a.1,brf-1
F45E12.2b.1,brf-1
F56A3.5.1,bro-1
Y79H2A.1a.1,brp-1
Y79H2A.1b.1,brp-1
Y79H2A.1c.1,brp-1
Y79H2A.1d.1,brp-1
Y79H2A.1e.1,brp-1
F15D4.1.1,btf-1
R06C7.8.1,bub-1
F57B9.5.1,byn-1
C23H4.1.1,cab-1
C23H4.1.2,cab-1
C23H4.1.3,cab-1
C23H4.1.4,cab-1
F54D8.4a.1,cah-1
F54D8.4b.1,cah-1
D1022.8.1,cah-2
K05G3.3.1,cah-3
R01E6.3a.1,cah-4
R01E6.3b.1,cah-4
R173.1.1,cah-5
T28F2.3.1,cah-6
C13C12.1a.1,cal-1
C13C12.1b.1,cal-1
C18E9.1.1,cal-2
M02B7.6a.1,cal-3
M02B7.6b.1,cal-3
T07G12.1a.1,cal-4
T07G12.1b.1,cal-4
T07G12.1c.1,cal-4
C01G6.8a.1,cam-1
C01G6.8b.1,cam-1
C01G6.8c.1,cam-1
D2024.6.1,cap-1
D2024.6.2,cap-1
M106.5.1,cap-2
F41G4.2a.1,cas-1
F41G4.2b.1,cas-1
F41G4.2b.2,cas-1
W01C8.6a.1,cat-1
W01C8.6b.1,cat-1
B0432.5a.1,cat-2
B0432.5b.1,cat-2
B0432.5c.1,cat-2
F32G8.6.1,cat-4
T13F2.8a.1,cav-1
T13F2.8b.1,cav-1
C56A3.7a.1,cav-2
C56A3.7b.1,cav-2
C56A3.7c.1,cav-2
C56A3.7d.1,cav-2
C04A11.t1,C04A11.t1
C05C9.t1,C05C9.t1
C05C9.t2,C05C9.t2
R10E11.1a.1,cbp-1
R10E11.1b.1,cbp-1
R10E11.1c.1,cbp-1
R10E11.1c.2,cbp-1
C54D2.5a.1,cca-1
C54D2.5a.2,cca-1
C54D2.5a.3,cca-1
C54D2.5c.1,cca-1
C54D2.5c.2,cca-1
C54D2.5c.3,cca-1
C54D2.5d.1,cca-1
C54D2.5d.2,cca-1
C54D2.5d.3,cca-1
C54D2.5e.1,cca-1
C54D2.5e.2,cca-1
C54D2.5e.3,cca-1
C54D2.5g.1,cca-1
C54D2.5g.2,cca-1
C54D2.5g.3,cca-1
T28F2.5.1,ccb-1
Y56A3A.20.1,ccf-1
Y73F8A.6.1,ccg-1
F26E4.9.1,cox-5B
F26E4.9.2,cox-5B
F26E4.9.3,cox-5B
T10B9.10.1,cyp-13A7
F08F3.7.1,cyp-14A5
C01F6.3,cyp-31A1
ZK177.5.1,cyp-44A1
ZK177.5.2,cyp-44A1
ZC518.3a.1,ccr-4
ZC518.3b.1,ccr-4
ZC518.3c.1,ccr-4
ZC518.3c.2,ccr-4
ZC518.3d.1,ccr-4
ZC518.3e.1,ccr-4
T05C12.7.1,cct-1
T21B10.7.1,cct-2
T21B10.7.2,cct-2
T21B10.7.3,cct-2
K01C8.10.1,cct-4
K01C8.10.2,cct-4
C07G2.3a.1,cct-5
C07G2.3a.2,cct-5
C07G2.3b.1,cct-5
C07G2.3b.2,cct-5
C07G2.3b.3,cct-5
C07G2.3b.4,cct-5
C07G2.3b.5,cct-5
F01F1.8a.1,cct-6
F01F1.8a.2,cct-6
F01F1.8b.1,cct-6
F01F1.8b.2,cct-6
C43E11.10.1,cdc-6
C17G10.4a.1,cdc-14
C17G10.4a.2,cdc-14
C17G10.4c.1,cdc-14
C17G10.4c.2,cdc-14
C17G10.4d.1,cdc-14
C17G10.4e.1,cdc-14
C17G10.4e.2,cdc-14
C17G10.4g.1,cdc-14
C17G10.4h.1,cdc-14
K06A5.7.1,cdc-25.1
K06A5.7.2,cdc-25.1
F16B4.8a.1,cdc-25.2
F16B4.8b.1,cdc-25.2
F16B4.8c.1,cdc-25.2
F16B4.8d,cdc-25.2
ZK637.11.1,cdc-25.3
R05H5.2.1,cdc-25.4
R07G3.1.1,cdc-42
C47D2.2.1,cdd-1
F49E8.4.1,cdd-2
C15B12.7a.1,cdf-1
C15B12.7b.1,cdf-1
C15B12.7c.1,cdf-1
ZK112.7.1,cdh-3
F25F2.2.1,cdh-4
F08B4.2a.1,cdh-5
F08B4.2b.1,cdh-5
F08B4.2c.1,cdh-5
F08B4.2d.1,cdh-5
R05H10.6.1,cdh-7
F59C12.1.1,cdh-9
C45G7.5.1,cdh-10
C45G7.5.2,cdh-10
B0034.3a.1,casy-1
B0034.3b.1,casy-1
B0034.3c.1,casy-1
T05G5.3.1,cdk-1
T05G5.3.2,cdk-1
F18H3.5a.1,cdk-4
F18H3.5b.1,cdk-4
T27E9.3.1,cdk-5
Y39G10AL.3.1,cdk-7
Y39G10AL.3.2,cdk-7
Y39G10AL.3.3,cdk-7
F39H11.3.1,cdk-8
H25P06.2a.1,cdk-9
H25P06.2b.1,cdk-9
R06F6.1.1,cdl-1
F35E8.11.1,cdr-1
Y54E10A.15.1,cdt-1
ZK1236.2.1,cec-1
Y47H9C.4a.1,ced-1
Y47H9C.4b.1,ced-1
Y47H9C.4c.1,ced-1
Y47H9C.4d.1,ced-1
Y41D4B.13a.1,ced-2
Y41D4B.13b.1,ced-2
Y41D4B.13c.1,ced-2
C48D1.2a.1,ced-3
C48D1.2b.1,ced-3
C35D10.9a.1,ced-4
C35D10.9a.2,ced-4
C35D10.9b.1,ced-4
C35D10.9b.2,ced-4
C02F4.1.1,ced-5
C02F4.1.2,ced-5
F56D2.7.1,ced-6
C48B4.4a.1,ced-7
C48B4.4b.1,ced-7
C48B4.4c.1,ced-7
C48B4.4d.1,ced-7
F08F1.5.1,ced-8
T07C4.8.1,ced-9
C09G12.8a.1,ced-10
C09G12.8b.1,ced-10
ZK512.3.1,ced-11
Y106G6E.5a.1,ced-12
Y106G6E.5a.2,ced-12
Y106G6E.5b.1,ced-12
R09F10.9.1,ced-13
F16H11.4.1,ceh-1
C27A12.5.1,ceh-2
C16C2.1.1,ceh-5
K02B12.1.1,ceh-6
C34C6.8.1,ceh-7
ZK265.4a.1,ceh-8
ZK265.4b.1,ceh-8
ZK265.4c.1,ceh-8
Y65B4BR.9.1,ceh-9
W03A3.1.1,ceh-10
F33D11.4a.1,ceh-12
F33D11.4b.1,ceh-12
R13A5.5.1,ceh-13
R13A5.5.2,ceh-13
F46C8.5.1,ceh-14
C13G5.1.1,ceh-16
C13G5.1.2,ceh-16
D1007.1.1,ceh-17
ZC64.3a.1,ceh-18
ZC64.3b.1,ceh-18
ZC64.3c.1,ceh-18
F20D12.6a.1,ceh-19
F20D12.6b.1,ceh-19
F31E3.1.1,ceh-20
T26C11.6.1,ceh-21
F29F11.5a.1,ceh-22
F29F11.5b.1,ceh-22
F29F11.5c.1,ceh-22
F29F11.5d.1,ceh-22
F29F11.5e.1,ceh-22
ZK652.5.1,ceh-23
F55B12.1.1,ceh-24
K12H4.1.1,pros-1
F46F3.1a.1,ceh-27
F46F3.1b.1,ceh-27
K03A11.3.1,ceh-28
C33D12.7.1,ceh-30
C33D12.7.2,ceh-30
C33D12.1.1,ceh-31
W05E10.3.1,ceh-32
C10G8.7.1,ceh-33
C10G8.6.1,ceh-34
C37E2.4.1,ceh-36
C37E2.5a.1,ceh-37
C37E2.5a.2,ceh-37
C37E2.5a.3,ceh-37
C37E2.5b.1,ceh-37
C37E2.5c.1,ceh-37
F22D3.1a.1,ceh-38
F22D3.1b.1,ceh-38
F22D3.1c.1,ceh-38
F22D3.1c.2,ceh-38
F22D3.1d.1,ceh-38
F22D3.1d.2,ceh-38
F22D3.1e.1,ceh-38
F22D3.1f.1,ceh-38
F22D3.1g.1,ceh-38
F22D3.1h.1,ceh-38
F22D3.1i.1,ceh-38
F22D3.1j.1,ceh-38
F22D3.1k.1,ceh-38
F22D3.1l.1,ceh-38
F22D3.1m.1,ceh-38
F22D3.1n.1,ceh-38
F22D3.1o.1,ceh-38
F22D3.1p.1,ceh-38
T26C11.7.1,ceh-39
T26C11.7.2,ceh-39
F17A2.5.1,ceh-40
T26C11.5.1,ceh-41
C28A5.4a.1,ceh-43
C28A5.4b.1,ceh-43
Y54F10AM.4a.1,ceh-44
Y54F10AM.4b.1,ceh-44
Y54F10AM.4c.1,ceh-44
C07G2.1a.1,cpg-1
C07G2.1b.1,cpg-1
C03D6.3a.1,cel-1
C03D6.3a.2,cel-1
C03D6.3b.1,cel-1
F52B5.5a.1,cep-1
F52B5.5a.2,cep-1
F52B5.5b.1,cep-1
F43G9.11.1,ces-1
ZK909.4.1,ces-2
F33A8.3.1,cey-1
F46F11.2.1,cey-2
M01E11.5.1,cey-3
M01E11.5.2,cey-3
Y39A1C.3.1,cey-4
Y39A1C.3.2,cey-4
T23D8.8.1,cfi-1
C18C4.2.1,cft-1
F27E11.3.1,cfz-2
C07H6.5.1,cgh-1
Y38C9A.2a.1,cgp-1
Y38C9A.2a.2,cgp-1
Y38C9A.2b.1,cgp-1
Y38C9A.2c.1,cgp-1
ZC416.8b.1,cha-1
T14G8.1.1,chd-3
C55B7.12a.1,che-1
C55B7.12b.1,che-1
F38G1.1.1,che-2
F38G1.1.2,che-2
F18C12.1.1,che-3
C23H5.7.1,che-6
F26D11.10a.1,che-7
F26D11.10b.1,che-7
F26D11.10c.1,che-7
F26D11.10d.1,che-7
C27A7.4.1,che-11
B0024.8a.1,che-12
B0024.8b.1,che-12
B0024.8c.1,che-12
B0024.8d.1,che-12
F59C6.7a.1,che-13
F59C6.7b.1,che-13
F56H1.1.1,che-14
T25G3.2.1,chs-1
T25G3.2.2,chs-1
F48A11.1a.1,chs-2
F48A11.1b.1,chs-2
F48A11.1c.1,chs-2
Y39H10A.7a.1,chk-1
Y39H10A.7b.1,chk-1
Y39H10A.7b.2,chk-1
Y60A3A.12.1,chk-2
T09B4.10.1,chn-1
T09B4.10.2,chn-1
C48D1.3.1,cho-1
Y110A7A.13.1,chp-1
Y110A7A.13.2,chp-1
C04F6.3.1,cht-1
H14E04.5.1,cic-1
F44B9.4a.1,cit-1.1
F44B9.4b.1,cit-1.1
F44B9.4c.1,cit-1.1
F44B9.4c.2,cit-1.1
F44B9.3a.1,cit-1.2
F44B9.3b.1,cit-1.2
C28D4.2a.1,cka-1
C28D4.2b.1,cka-1
C28D4.2c.1,cka-1
C52B9.1a.1,cka-2
C52B9.1b.1,cka-2
B0285.8.1,ckb-1
B0285.9.1,ckb-2
B0285.9.2,ckb-2
B0285.10.1,ckb-3
F22F7.5a.1,ckb-4
F22F7.5b,ckb-4
T27A10.3a.1,ckc-1
T27A10.3b.1,ckc-1
T05A6.1.1,cki-1
T05A6.2a.1,cki-2
T05A6.2a.2,cki-2
T05A6.2b.1,cki-2
T05A6.2c.1,cki-2
T05A6.2c.2,cki-2
C05H8.1a.1,ckk-1
C05H8.1b.1,ckk-1
Y47D3A.4.1,cku-70
R07E5.8a.1,cku-80
R07E5.8a.2,cku-80
R07E5.8b.1,cku-80
R07E5.8b.2,cku-80
R07E5.8c.1,cku-80
R07E5.8c.2,cku-80
R07E5.8c.3,cku-80
C15C8.2.1,cky-1
C09F12.1.1,clc-1
C09F12.1.2,clc-1
C01C10.1.1,clc-2
ZK563.4a.1,clc-3
ZK563.4b.1,clc-3
T05A10.2.1,clc-4
C01C10.4.1,clc-5
C36B1.1a.1,cle-1
C36B1.1b.1,cle-1
C36B1.1c.1,cle-1
C36B1.1d.1,cle-1
T27D12.2a.1,clh-1
T27D12.2b.1,clh-1
B0491.8a.1,clh-2
B0491.8b.1,clh-2
B0491.8c.1,clh-2
E04F6.11a.1,clh-3
E04F6.11b,clh-3
E04F6.11c.1,clh-3
E04F6.11d.1,clh-3
E04F6.11e.1,clh-3
E04F6.11f.1,clh-3
E04F6.11g.1,clh-3
E04F6.11h.1,clh-3
E04F6.11i.1,clh-3
T06F4.2a.1,clh-4
T06F4.2b.1,clh-4
C07H4.2.1,clh-5
R07B7.1.1,clh-6
R01B10.1a.1,cpi-2
R01B10.1a.2,cpi-2
R01B10.1b,cpi-2
K08B4.6.1,cpi-1
ZC395.2.1,clk-1
C07H6.6.1,clk-2
F07B10.1a.1,cln-3.1
F07B10.1b.1,cln-3.1
C01G8.2.1,cln-3.2
ZC190.1.1,cln-3.3
ZC190.1.2,cln-3.3
C06G4.2a.1,clp-1
C06G4.2a.2,clp-1
